id,topic,question_text,image_filename,option_a,option_b,option_c,option_d,correct_answer,explanation
11,Redox/Cells,"Consider the three chemical cells shown. What is the descending order of reactivity of metals P, Q, and R?",2023_q11_cell.png,P > Q > R,P > R > Q,R > P > Q,Q > R > P,B,"Electrons flow from more reactive to less reactive. P pushes e- to both Q and R, so P is most reactive."
12,Energetics,40cm3 0.5M HCl + 40cm3 0.5M NaOH gives rise of ?T. What is the rise for 60cm3 1.0M HCl + 60cm3 0.5M NaOH?,,0.75 ?T,1.0 ?T,1.5 ?T,2.0 ?T,B,"The limiting reagent is still 0.5M NaOH. The heat produced per unit volume remains roughly the same, so the temp rise is still 1.0 ?T."
13,Electrolysis,Which combination concerning electrolysis of copper(II) sulphate solution is correct?,2023_q13_table.png,"Cathode: graphite, Observation: Reddish brown solid on anode","Cathode: graphite, Observation: Mass of cathode decreases","Cathode: copper, Observation: Blue colour fades","Cathode: copper, Observation: Mass of anode decreases",D,"Using copper electrodes: The anode dissolves (Cu -> Cu2+), mass decreases. Cathode gains mass."
14,Stoichiometry,0.729 g Mg reacts with 50.0 cm3 0.50 M H2SO4. What is the mass of Mg remaining? (Mg=24.3),,0.122 g,0.243 g,0.425 g,0.608 g,A,Moles Mg=0.03. Moles H2SO4=0.025 (Limiting). Mg reacted=0.025. Mg left=0.005 mol * 24.3 = 0.122g.
15,Bonding,Argon is a gas at room temperature and pressure because...,,outermost shell has octet structure,attractive force between atoms is weak,molecules are monoatomic,argon is chemically inert,B,Physical state depends on intermolecular forces. Argon atoms have very weak van der Waals' forces.
16,Redox,Reaction: Cl2 + 2Br- -> Br2 + 2Cl-. Which statement about the oxidising agent is correct?,,It loses electrons and is reduced,It gains electrons and is reduced,It loses electrons and is oxidised,It gains electrons and is oxidised,B,Cl2 is the oxidising agent. It takes electrons (gains) and is reduced to Cl-.
17,Bonding,"Which statements concerning ice and water are correct? (1) Ice has open structure. (2) H-bonds in ice is double that in water. (3) H2O in ice is tetrahedral, in water is V-shaped.",,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A,(1) is true (open structure makes ice less dense). (3) is false because H2O molecules are always V-shaped.
18,Bonding,Properties of XBr and ZBr (see image/table). Which statements are correct?,2023_q18_table.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A,"XBr conducts when molten (Ionic, likely Group 1). ZBr is likely covalent. Only (1) fits."
19,Organic Chem,Members of homologous series of alkenes have the same... (1) structural formula (2) empirical formula (3) general formula,,(1) only,(2) only,(1) and (3) only,(2) and (3) only,D,Same General Formula (CnH2n) and same Empirical Formula (CH2). Structural formulas differ.
20,Energetics,Which statements are correct? (1) Formation of liquid N2 is not zero. (2) Formation of compound must be negative. (3) Formation of CO(g) can be determined directly.,,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A,(1) is true (Standard state of N2 is gas). (2) False (can be endothermic). (3) False (forms CO2 mixture).
21,Corrosion,Which set-ups prevent rusting of underground iron pipe?,2023_q21_setup.png,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A,Sacrificial protection (Mg/Zn) and Cathodic protection (Negative terminal) work. Copper accelerates rusting.
22,Acids & Bases,Sol A (1M HNO3) vs Sol B (0.5M H2SO4). Which statements are correct? (1) Both react with Fe. (2) Require same vol of KOH for neutralisation. (3) Same moles of gas with CaCO3.,,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A,"(3) is false because H2SO4 forms insoluble CaSO4 on limestone, stopping the reaction."
23,Organic Chem,Statements about ethanoic acid: (1) Present in vinegar. (2) Changes phenolphthalein to pink. (3) Is an alkanoic acid.,,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",B,Acids turn phenolphthalein colourless. (1) and (3) are true.
24,Organic Chem,1st statement: Butane and methylpropane have same physical properties. 2nd: They have same molecular formula.,,"Both true, 2nd explains 1st","Both true, 2nd DOES NOT explain 1st","1st false, 2nd true",Both false,C,Isomers (Same formula) have DIFFERENT physical properties (BP/MP).
25,Kinetics,Decomposition of H2O2. Exp I (1.0M) vs Exp II (0.5M). Which graph is correct?,2023_q25_graph.png,Graph A,Graph B,Graph C,Graph D,A,Higher concentration (1.0M) means steeper initial slope. Same moles means same final height.
26,Stoichiometry,Reaction: C3H8 + 5O2 -> 3CO2 + 4H2O. 100cm3 C3H8 burns in 600cm3 O2. Volume of resulting gas mixture?,,800 cm3,700 cm3,400 cm3,300 cm3,C,100 C3H8 uses 500 O2 -> 300 CO2. Gas left = 100 unused O2 + 300 CO2 = 400 cm3.
27,Equilibrium,Fe3+ + SCN- <=> Fe(SCN)2+. Add Fe(NO3)3. How does new equilibrium compare?,,decreased / unchanged,decreased / increased,increased / unchanged,increased / increased,D,"Adding reactant shifts right -> [Complex] increases. Since Rate depends on concentration, backward rate also increases."
28,Kinetics,Which reaction is fastest at room conditions?,,AgNO3(aq) + NaCl(aq),Zn(s) + 2HCl(aq),4Fe(s) + 3O2(g),CH4(g) + Br2,A,Precipitation of ions is virtually instantaneous. Others require bond breaking.
29,Equilibrium,Equilibrium constants K1 (HI dissociation) and K2 (HI formation). What is the relationship?,,K1 = 1/K2,K1 = 1/(K2)^2,K2 = 1/(2K1),K2 = 1/(K1)^2,A,The reactions are exact inverses. K_reverse = 1 / K_forward.
30,Organic Chem,Which pair would NOT react?,,ethene + HCl,propan-1-ol + PCl3,propene + H2 (Pt catalyst),methylpropan-2-ol + acidified K2Cr2O7,D,Tertiary alcohols cannot be oxidised because the central C has no H to give up.
31,Organic Chem,"What is W in the conversion? (Reduction of ketone/aldehyde)""",2023_q31_structure.png,Option A,Option B,Option C,Option D,D,Reduction of Carbonyl (C=O) to Alcohol (C-OH).
32,Equilibrium,X <=> Y. Equilibrium ratio X:Y is 1:3. Which statements correct? (1) Qc > Kc before eqm. (2) Starting with Y only gives same ratio. (3) Backward rate = 3x Forward rate.,,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B,Only (2) is true. Kc is constant regardless of direction.
33,Periodic Table,Elements across Period 2. Which correct? (1) Carbon has highest mp. (2) Li has highest conductivity. (3) Bond type changes ionic to covalent.,,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A,(1) True (Diamond). (3) False (Metallic -> Covalent).
34,Organic Chem,Structure shown. Which correct? (1) Soluble in water. (2) Has ester group. (3) Empirical formula CH2O.,2023_q34_structure.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,C,(1) True (Many OH groups). (3) True (If sugar).
35,Planet Earth,Which of the following statements concerning CO2(g) is INCORRECT?,,It can turn limewater milky.,It can be used to make dry ice.,It can be produced by adding marble to water.,It generally has a higher percentage in the air in urban areas than that in rural areas.,C,Adding marble ($CaCO_3$) to water does not produce $CO_2$ because calcium carbonate is insoluble in water. You need an acid to react with marble.
36,Atomic Structure,How many neutrons and electrons are there in a 51-V-3+ ion (Atomic No 23)?,,"23, 20","28, 23","28, 20","51, 23",C,"Vanadium (V) is element 23 (23 protons). Mass number 51 means neutrons = $51 - 23 = 28$. For $V^{3+}$ ion, electrons = $23 - 3 = 20$. Answer: 28, 20."
37,Bonding,Which of the following substances is an electrolyte?,,sodium chloride,silicon dioxide,methanol,mercury,A,"Sodium chloride ($NaCl$) is an ionic compound. It dissociates into ions in solution or molten state, conducting electricity. $SiO_2$ is covalent network, methanol is molecular, mercury is a metal (electronic conductor)."
38,Acids & Bases,Which of the following is an INCORRECT procedure in titration?,,Rinse the pipette with the solution to be delivered before titration.,Rinse the conical flask with the solution to be held before titration.,Take the burette readings with eyes on the same level as the meniscus.,Make sure that there are no air bubbles in the burette filled with the titrant.,B,"You should Rinse the pipette with the solution to be delivered (to prevent dilution). However, you should NEVER rinse the conical flask with the solution. This adds extra moles of analyte, causing a positive error."
39,Periodic Table,Element X forms a stable XH4+ ion. Which group does X most likely belong to?,,Group III,Group IV,Group V,Group VI,C,"Element X forms $XH_4^+$. This is analogous to ammonium ($NH_4^+$). Since H is +1, X must have 5 valence electrons to form 4 bonds and have a +1 charge (or coordinate bond). X is in Group V."
40,Stoichiometry,Copper(II) phosphate is insoluble. 0.04 mol CuCl2 mixed with 0.02 mol Na3PO4. Moles of Cu2+ remaining?,,0,0.01,0.02,0.03,B,"Reaction: $3Cu^{2+} + 2PO_4^{3-} \rightarrow Cu_3(PO_4)_2$. Moles $Cu$ = 0.04, $PO_4$ = 0.02. Stoichiometry requires 1.5x moles of Cu for every PO4. $0.02 \times 1.5 = 0.03$ mol Cu needed. We have 0.04. Remaining $Cu^{2+} = 0.04 - 0.03 = 0.01$ mol."
41,Qualitative Analysis,A white solid does NOT dissolve in both water and excess aqueous ammonia. What is it?,,Pb(NO3)2,Zn(OH)2,MgSO4,CaCO3,D,"White solid insoluble in water? (Exclude $MgSO_4$, $Pb(NO_3)_2$). Insoluble in excess $NH_3$? $Zn(OH)_2$ dissolves in excess $NH_3$ (complex ion). $CaCO_3$ is insoluble in both."
42,Polymers,The structure of a portion of a polymer is shown.,2022_Q8_structure.png,It can be used as a substitute for glass.,Its repeating unit is shown in option B.,It can be made from its monomer through addition polymerisation.,It can decolourise bromine dissolved in an organic solvent quickly.,C,"The structure shown is PMMA (Perspex). Monomer is methyl 2-methylpropenoate. It contains a C=C double bond, so it undergoes addition polymerisation."
43,Organic Chem,"Consider the three compounds: X (Butan-1-ol), Y (Ethane-1,2-diol), Z (Methyl ethanoate). Which of the following shows the ecreasing order of their solubilities in water?",,X > Y > Z,Z > Y > X,Y > Z > X,Y > X > Z,C,"Solubility in water depends on Hydrogen Bonding. Y (Ethane-1,2-diol) has 2 -OH groups (Most soluble). Z (Methyl ethanoate) is a polar ester (Moderate). X (Butan-1-ol) has large hydrophobic chain (Least soluble relative to Z?). *Correction*: Esters like Z are soluble, but alcohols like X are also soluble. However, Y is miscible. The correct order given by key is Y > Z > X."
44,Redox,"6.54 g Zn added to 100 cm3 1.0 M AgNO3. Which statement is correct? (Zn=65.4, Ag=107.9)",,"Some Zn reacted, no Ag+ remains.","All Zn reacted, no Ag+ remains.","All Zn reacted, some Ag+ remains.",Mass of Zn reacted equals mass of solid product formed.,A,"$Zn + 2Ag^+ \rightarrow Zn^{2+} + 2Ag$. Moles $Ag^+$ = 0.1, $Zn$ = 0.1. Ratio 1:2. 0.1 mol $Ag^+$ needs 0.05 mol $Zn$. We have 0.1 mol $Zn$. So $Zn$ is in excess, $Ag^+$ is limiting (0 remains). Result: Some Zn reacted, No Ag+ remains."
45,Electrolysis,In the electrolysis of 1.0 M CuSO4 using Cu cathode and Carbon anode are used. Which of the following combination is correct?,2022_Q11_table.png,A Cathode: Copper dissolves Anode: Oxygen is formed,B Cathode: Copper dissolves Anode: Sulphur dioxide is formed,C Cathode: Copper is deposited Anode: Oxygen is formed,D Cathode: Copper is deposited Anode: Sulphur dioxide is formed,C,Electrolysis of $CuSO_4$ with Cu cathode and C anode. Cathode ($Cu^{2+} + 2e \rightarrow Cu$): Copper deposited. Anode ($4OH^- \rightarrow O_2 + ...$): Oxygen gas formed because Carbon is inert.
46,Stoichiometry,"Consider the following chemical quation: xNH3 + yO2 -> xNO + zH2O. Values of x, y, z?",,"x=2, y=3, z=3","x=2, y=3, z=6","x=4, y=5, z=4","x=4, y=5, z=6",D,"Balancing $xNH_3 + yO_2 \rightarrow xNO + zH_2O$. N: x=x. H: 3x=2z. O: 2y=x+z. Try x=4. Then z=6. 2y=4+6=10, so y=5. Coefficients: 4, 5, 6."
47,Redox,Consider the following chemical cell shown (KI vs Fe(NO3)3). ,2022_Q13_setup.png,Electrode X is the cathode.,Solution in beaker (1) turns brown.,Fe(NO3)3 acts as a reducing agent.,Solution in beaker (2) changes from pale green to yellow.,B,Left beaker ($I^-$) is Anode (Oxidation: $2I^- \rightarrow I_2 + 2e^-$). Brown color $I_2$ appears. Right beaker ($Fe^{3+}$) is Cathode (Red: $Fe^{3+} \rightarrow Fe^{2+}$).
48,Energetics,What is the enthalpy change of the following reaction under the same conditions? Na2O(s) + H2O(l) -> 2NaOH(s). (Given Hf values),2022_Q14_table.png,275 kJ,150 kJ,-722 kJ,-1125 kJ,B,Hess Law: $\Delta H = 2 \times \Delta H_f(NaOH) - [\Delta H_f(Na_2O) + \Delta H_f(H_2O)]$. $\Delta H = 2(-425) - [-414 + (-286)] = -850 - (-700) = -150$ kJ.
49,Metals,"When HCl is added to metals P, Q, R separately, only Q and R gove a colourless gas. When zinc is added to aqueous solutions of their chlorides separately, only the chlorides of RR shows no observable change. Which of the following shows the increase order of reducting power of the metals?",,R < Q < P,Q < P < R,P < Q < R,P < R < Q,C,"HCl reaction: P (no gas) < Q, R. So P is least reducing (least reactive). Zn reaction: Zn reacts with chlorides of P, Q (so Zn > P, Q) but not R (so R > Zn). Order: $P < Q < R$."
50,Organic Chem,Compound X (C4H7Br) has one carbon-carbon double bond. It can react with Br2 (dissolved in an organic solvent) to form the product shown. ,2022_Q16_product.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,D,Product is a tri-bromo compound. X had 1 double bond + 1 Br. Reaction adds 2 Br. Total 3 Br. Options (2) and (3) fit the structure logic.
51,Separation Methods,Which of the following process can be performed by using the set-up shown?,2022_Q17_setup.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A,"Set-up is Simple Distillation. (1) Desalination (water from salt) - Yes. (2) Diesel is a mix, propane is gas - No. (3) Liquid air components have close boiling points - Need Fractional Distillation."
52,Metals,"Which of the following pairs of substances, when mixed, would releases hydrogen gas?",2022_Q18_table.png,Cu + conc HCl,Fe + H2SO4,Ca + NaOH,(2) and (3) only,D,(1) Cu + HCl: No reaction. (2) Fe + H2SO4: $Fe + 2H^+ \rightarrow Fe^{2+} + H_2$. (3) Ca + NaOH: Ca reacts with water in the solution ($Ca + 2H_2O \rightarrow Ca(OH)_2 + H_2$). So (2) and (3).
53,Organic Chem,Consider the two compounds shown. Which statements are correct?,2022_Q19_structure.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,D,"Structures comparison. (2) Same molecular formula? Count C,H. Yes. (3) Insoluble? Large hydrocarbon parts. Yes."
54,Metals,A small piece of sodium is added to water containing a few drops of universal indicator. Which statements is/are correct?,2022_Q20_table.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,C,"Na + Water. (1) Moves quickly (Exothermic/Gas propels). (2) Red color? No, alkali turns Universal Indicator Blue/Purple. (3) Exothermic? Yes. Answer (1) and (3)."
55,Energetics,Which statements concerning standard enthalpy changes are correct?,2022_Q21_table.png,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A,(1) $\Delta H_f$ of element (Graphite) is 0. (2) Combustion is always exothermic (-ve). (3) $\Delta H_f(CO) = C + 0.5 O_2$. Combustion $C + O_2$. Not equal.
56,Acids & Bases,Both Acid A and Acid B are monobasic acids. The pH of 0.10 M A is 1.0 and the pH of 0.10 M B is 3.0. Which of the following statements are correct?,2022_Q22_table.png,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",D,"pH 1 vs 3. (1) A has more $H^+$, likely stronger. (2) B is weaker, partial dissociation, so molecules present. (3) Monobasic acids, same Vol, same Conc = Same Moles. NaOH neutralizes total moles. Yes."
57,Fossil Fuels,The simplified diagram below shows how different petroleum fractions can be obtained from the fractionating tower. Which of the following statements are correct?,2022_Q23_tower.png,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A,"Fractionating Tower. S is lower/hotter than Q. (1) S darker? Yes. (2) R (lower than P) more viscous? Yes. (3) Q (lower than P) more flammable? No, volatility decreases down."
58,Organic Chem,1st statement: Ethene and but-1-ene have same enthalpy of combustion. 2nd: Same empirical formula.,,"Both true, 2nd explains 1st","Both true, 2nd DOES NOT explain 1st","1st false, 2nd true",Both false,C,1st: Combustion enthalpy depends on mole size (C2 vs C4). False. 2nd: Ethene ($C_2H_4$) and Butene ($C_4H_8$) both have empirical formula $CH_2$. True.
59,Stoichiometry,A mixture consists of methane and ethane. 50 cm3 of this mixture burns in oxygen to form 80 cm3 CO2. What is the volume of methane in this mixture at room conditions? (Molar volume of gas = 24dm3),,10 cm3,20 cm3,30 cm3,40 cm3,B,"Let $CH_4 = x$, $C_2H_6 = 50-x$. $CO_2$ produced: $1(x) + 2(50-x) = 80$. $x + 100 - 2x = 80$. $x = 20$. Methane is 20 $cm^3$."
60,Kinetics,Which of the following changes may give curve Y?,2022_Q26_graph.png,Increase temp by 10C,Use 25cm3 0.1M HCl instead of 50cm3,Use 50cm3 0.05M HCl instead,Use same mass CaCO3 granules,D,Curve Y has lower initial rate (less steep) but same final amount (same plateau). Using 'Granules' instead of 'Powder' decreases surface area (slower rate) but same mass (same yield).
61,Organic Chem,Which of the following combinations concerning if cis-trans isomerism and enantiomerism can occur in the compound is correct?,2022_Q27_structure.png,A cis-trans isomerism: No enantiomerism: No,B cis-trans isomerism: Yes enantiomerism: Yes,C cis-trans isomerism: Yes enantiomerism: No,D cis-trans isomerism: No enantiomerism: Yes,A,Cis-trans: Needs C=C with diff groups. Enantiomerism: Needs chiral carbon. The structure likely lacks these features based on answer A.
62,Equilibrium,Which of the following equation can represent the reversible reaction?,2022_Q28_graph.png,X <-> 2Y,X <-> 3Y,2X <-> Y,2X <-> 3Y,B,Graph: X drops from 1.2 to 0.8 (Change 0.4). Y rises from 0 to 1.2 (Change 1.2). Ratio 1:3. Equation: $X \rightleftharpoons 3Y$.
63,Organic Chem,The structure of an organic compound is shown below:,2022_Q29_structure.png,Structure A,Structure B,Structure C,Structure D,B,Hydrolysis of amide. NaOH gives carboxylate salt. Adding excess HCl converts it to Carboxylic Acid (COOH) and Ammonium/Amine salt.
64,Equilibrium,What is the equilibrium constant Kc for the reaction at this temperature?,2022_Q30_product.png,20,6.7,2,0.05,A,$K_c = [SO_3]^2 / ([SO_2]^2 [O_2])$. Eqm moles: $SO_3=0.3$. $SO_2=0.4-0.3=0.1$. $O_2=0.6-0.15=0.45$. Vol=1. $K_c = 0.3^2 / (0.1^2 \times 0.45) = 0.09 / 0.0045 = 20$.
65,Kinetics,Consider the experimental set-up shown below:,2022_Q31_setup.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,B,Set up measures gas volume. (1) Acid-Base (No gas). (2) Metal + Acid (H2 gas). (3) Displacement (No gas). Only (2) works.
66,Transition Metals,Which of the following statements can demonstrate that chromium exhibits the characteristics of transition metal?,2022_Q32_product.png,(1) only,(2) only,(1) and (3) only,(2) and (3) only,A,Transition metal characteristics: (1) Colored ions (Orange) - Yes. (2) Eqm shift - General property. (3) Ox states - Here both +6. Demonstrates 'Variable' only if they were different. Answer (1) only.
67,Organic Chem,Which of the following statements about aspirin are correct?,2022_Q33_structure.png,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",D,"Aspirin. (1) Ester group - Yes. (2) Medical use - Yes. (3) Soluble in $Na_2CO_3$ - Yes, because it has a -COOH group which reacts to form a soluble salt."
68,Organic Chem,Which of the following compounds can be used as a monomer for condensation polymerisation?,2022_Q34_structure.png,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",C,
69,Organic Chem,The structure of a detergent is shown below:,2022_Q35_structure.png,(1) and (2) only,(1) and (3) only,(2) and (3) only,"(1), (2) and (3)",A,
70,Planet Earth,Which of the following statements concerning quicklime is INCORRECT?,,Heating marble strongly can form quicklime.,Reacting quicklime with sulphur dioxide can form calcium sulphate.,Reacting quicklime with carbon dioxide can form calcium carbonate.,A large amount of heat evolves when quicklime is put into water.,B,"Quicklime is calcium oxide (CaO). It is a base. Sulphur dioxide (SO2) is an acidic gas. The reaction produces calcium sulphite (CaSO3), not sulphate, unless oxidised. (CaO + SO2 -> CaSO3). Option A is correct (Thermal decomposition of CaCO3). Option C is correct (Reverse of decomposition). Option D is correct (Exothermic reaction forming slaked lime)."
71,Microscopic World I,Which of the following statements concerning quartz is correct?,,Quartz is soluble in hexane.,Quartz consists of SiO2 molecules.,Quartz conducts electricity by delocalised electrons.,Quartz is hard because it has a giant covalent network structure.,D,"Quartz is Silicon Dioxide (SiO2). It has a Giant Covalent Structure (Network), making it very hard and high melting. It is NOT made of discrete molecules (Statement B is false). It does not have delocalised electrons (insulator). It is insoluble in organic solvents."
72,Mole Concept,"What is the mass of oxygen in 24.0 g of CuSO4 . H2O(s)? (Relative atomic masses: H=1.0, O=16.0, S=32.1, Cu=63.5)",,6.2 g,9.6 g,13.8 g,21.7 g,C,"Molar Mass of CuSO4??H2O = 63.5 + 32.1 + 4(16) + 5(18) = 249.6 g/mol. 
Mass of Oxygen in 1 mole = 4(16) + 5(16) = 144 g. 
Mass fraction of O = 144 / 249.6. 
Mass of O in 24.0g = 24.0 * (144 / 249.6) ??13.8 g."
73,Metals,Which of the following combinations would give a brown gas when putting X in Y?,,"X: magnesium, Y: concentrated nitric acid","X: magnesium, Y: concentrated sulphuric acid","X: magnesium oxide, Y: concentrated sulphuric acid","X: magnesium oxide, Y: concentrated nitric acid",A,"Magnesium reacts with Concentrated Nitric Acid to produce Nitrogen Dioxide (NO2), which is a BROWN gas. (Mg + 4HNO3 -> Mg(NO3)2 + 2NO2 + 2H2O). Conc H2SO4 with Mg gives SO2 (colourless). MgO is a base, reacting with acids to give salt and water only (no gas)."
74,Periodic Table,Which of the following statements concerning francium (atomic number = 87) is correct?,,Francium has a higher melting point than potassium.,Francium forms cations more readily than potassium.,Francium is a weaker oxidising agent than potassium.,Francium has a fewer number of occupied electron shells than potassium.,B,"Francium is in Group 1, at the bottom. Reactivity of Group 1 metals INCREASES down the group because the outer electron is further from the nucleus and easier to lose. Thus, Fr forms cations (loses electron) more readily than K. Melting point DECREASES down the group (Fr < K)."
75,Fossil Fuels,What is the product of the reaction between chloroethene and bromine dissolved in an organic solvent?,,"2-chloro-1,2-dibromoethane","1,2-dibromo-1-chloroethane","2-chloro-1,1-dibromoethane","2,2-dibromo-1-chloroethane",B,"Chloroethene is CH2=CHCl. Reaction with Bromine (Br2) is an ADDITION reaction across the double bond. Br atoms add to C1 and C2. Product: CH2Br-CHClBr. Systematic name: 1,2-dibromo-1-chloroethane (Numbering gives lowest locants)."
76,Metals,Which is the best material to make aircraft body?,2020_Q7_table.png,P,Q,R,S,D,Aircraft bodies require a material with LOW Density (for fuel efficiency) and HIGH Strength/Hardness. Material S has the lowest density (2.7) and is ranked #1 (Hardest). This corresponds to Aluminium alloys.
77,Metals,In which combination would the iron nail rust the fastest?,2020_Q8_setup.png,"X: hydrogen, Y: petrol","X: hydrogen, Y: distilled water","X: oxygen, Y: petrol","X: oxygen, Y: distilled water",D,"Rusting requires BOTH Oxygen and Water. Option D provides Oxygen (gas X) and Water (liquid Y), creating the ideal conditions for rusting. Petrol contains no water. Hydrogen is not Oxygen."
78,Redox,Which of the following statements is correct?,2020_Q9_cell.png,Copper is the cathode of the cell.,Zinc ions act as the oxidising agent in the cell.,Only zinc ions can pass through the porous pot.,Electrons flow from copper to zinc through the external circuit.,A,"Zinc is more reactive than Copper, so Zn acts as the Anode (Oxidation, loses e-). Copper acts as the Cathode (Reduction). Electrons flow from Anode (Zn) to Cathode (Cu). Option A is correct."
79,Energetics,Refer to the enthalpy change of combustion below:,2020_Q10_structure.png,-206 kJ mol-1,-652 kJ mol-1,+206 kJ mol-1,+652 kJ mol-1,A,"Using Hess's Law with Combustion data: dH = Sum(dHc Reactants) - Sum(dHc Products). 
Reactants: (-3268) + 3*(-286) = -3268 - 858 = -4126 kJ. 
Products: -3920 kJ. 
dH = -4126 - (-3920) = -206 kJ mol-1."
80,Acids & Bases,What is the role of water in this reaction?,2020_Q11_setup.png,Water reacts with citric acid to give the colourless gas.,Water reacts with sodium carbonate to give the colourless gas.,Water is a medium for the formation of carbonate ions from sodium carbonate.,Water is a medium for the formation of hydrogen ions from citric acid.,D,"Acids only show acidic properties (like releasing H+ ions) when dissolved in water (ionisation). Without water, citric acid exists as molecules and cannot react with the carbonate. Water acts as a solvent/medium to allow ionization and the reaction to proceed."
81,Redox,What is the minimum volume of 0.010 M KMnO4 required to completely oxidise 15.00 cm3 of 0.020 M Na2C2O4?,,6.00 cm3,12.00 cm3,15.00 cm3,75.00 cm3,B,"Reaction Ratio: 2 MnO4- : 5 C2O4 2-. 
Moles of Oxalate = 0.020 * 0.015 = 0.0003 mol. 
Moles of MnO4 needed = 0.0003 * (2/5) = 0.00012 mol. 
Volume = Moles / Molarity = 0.00012 / 0.010 = 0.012 L = 12.00 cm3."
